0.703;0.323;1
0.501;0.264;1
0.644;0.264;1
0.625;0.342;1
0.784;0.440;1
0.884;0.362;1
0.844;0.460;1
0.786;0.832;1
0.508;0.323;1
0.766;0.362;1
0.618;0.303;1
0.631;0.244;1
0.651;0.283;1
0.495;0.283;1
0.627;0.460;1
1.050;0.754;1
0.504;0.264;1
0.512;0.244;1
0.522;0.460;1
0.801;0.793;1
0.828;0.793;1
0.626;0.303;1
0.514;0.225;1
0.580;0.460;1
0.491;0.244;1
0.744;0.323;1
0.594;0.401;1
0.559;0.323;1
0.635;0.205;1
0.763;0.342;1
0.589;0.303;1
0.724;0.636;1
0.717;0.950;1
0.769;0.479;1
0.681;0.225;1
0.636;0.225;1
0.777;0.440;1
0.668;0.342;1
0.665;0.734;1
0.561;0.205;1
0.561;0.381;1
0.865;0.891;1
0.766;0.414;0
0.827;0.433;0
0.855;0.512;0
0.779;0.571;0
0.710;0.394;0
0.781;0.551;0
0.784;0.492;0
0.834;0.571;0
0.739;0.492;0
0.913;0.453;0
0.732;0.492;0
0.806;0.433;0
0.824;0.453;0
0.727;0.453;0
0.749;0.492;0
0.918;0.453;0
0.732;0.492;0
0.706;0.453;0
0.824;0.423;0
0.827;0.463;0
0.849;0.592;0
0.968;0.753;0
0.792;0.692;0
0.886;0.753;0
1.024;0.323;0
0.929;0.563;0
